,date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
2600,2015-02-04 07:19:00,20.5,24.0,0.0,472.0,0.0035741340756772102,0
2601,2015-02-04 07:20:00,20.477999999999998,23.978,0.0,470.0,0.00356596658429162,0
2602,2015-02-04 07:21:00,20.445,23.945,0.0,466.666666666667,0.00355374334047454,0
2603,2015-02-04 07:21:59,20.5,24.0,0.0,461.4,0.0035741340756772102,0
2604,2015-02-04 07:23:00,20.39,23.89,0.0,462.666666666667,0.0035334457256767705,0
2605,2015-02-04 07:24:00,20.4725,23.89,0.0,464.75,0.00355159195988146,0
2606,2015-02-04 07:25:00,20.5,23.89,0.0,473.5,0.0035576589307174398,0
2607,2015-02-04 07:25:59,20.456,23.85,0.0,472.5,0.0035419818405528704,0
2608,2015-02-04 07:27:00,20.426666666666698,23.823333333333302,0.0,473.0,0.00353156169479861,0
2609,2015-02-04 07:27:59,20.463333333333303,23.856666666666698,0.0,473.0,0.0035445907796677898,0
2610,2015-02-04 07:28:59,20.445,23.823333333333302,0.0,469.833333333333,0.00353558381640323,0
2611,2015-02-04 07:30:00,20.445,23.8175,0.0,469.25,0.0035347131807768896,0
2612,2015-02-04 07:31:00,20.4175,23.7475,0.0,471.75,0.00351825348975941,0
2613,2015-02-04 07:32:00,20.426666666666698,23.76,0.0,472.666666666667,0.00352212002291503,0
2614,2015-02-04 07:33:00,20.4175,23.7225,0.0,471.5,0.00351452874724351,0
2615,2015-02-04 07:34:00,20.4725,23.7675,0.0,471.0,0.00353327712377474,0
2616,2015-02-04 07:34:59,20.39,23.7,0.0,472.0,0.0035051854492393697,0
2617,2015-02-04 07:36:00,20.434,23.736,0.0,468.8,0.0035201446023228897,0
2618,2015-02-04 07:37:00,20.426666666666698,23.73,56.3333333333333,471.666666666667,0.0035176477515035,0
2619,2015-02-04 07:38:00,20.39,23.7,311.75,474.75,0.0035051854492393697,1
2620,2015-02-04 07:38:59,20.4175,23.7225,426.0,473.5,0.00351452874724351,1
2621,2015-02-04 07:40:00,20.4725,23.7675,433.0,473.75,0.00353327712377474,1
2622,2015-02-04 07:40:59,20.481666666666698,23.89,423.666666666667,484.5,0.00355361326947345,1
2623,2015-02-04 07:41:59,20.5,23.89,419.0,492.4,0.0035576589307174398,1
2624,2015-02-04 07:43:00,20.5,23.89,419.0,491.0,0.0035576589307174398,1
2625,2015-02-04 07:44:00,20.5,23.89,419.0,487.2,0.0035576589307174398,1
2626,2015-02-04 07:45:00,20.55,23.945,415.5,493.25,0.0035769763986099705,1
2627,2015-02-04 07:46:00,20.52,24.0,409.8,499.6,0.00357857273040011,1
2628,2015-02-04 07:46:59,20.525,24.0,414.6,506.2,0.00357968315295065,1
2629,2015-02-04 07:47:59,20.6,24.0833333333333,413.0,507.333333333333,0.0036089358446416103,0
2630,2015-02-04 07:49:00,20.6,24.1,414.6,514.6,0.00361144787924265,0
2631,2015-02-04 07:50:00,20.6,24.175,407.5,522.25,0.0036227522845972,0
2632,2015-02-04 07:51:00,20.6,24.2,406.6,525.6,0.00362652051049971,0
2633,2015-02-04 07:52:00,20.6,24.2,399.5,528.0,0.00362652051049971,0
2634,2015-02-04 07:53:00,20.6333333333333,24.23,398.333333333333,537.333333333333,0.00363855561297649,1
2635,2015-02-04 07:53:59,20.66,24.2,406.2,538.8,0.0036400371297586396,1
2636,2015-02-04 07:54:59,20.625,24.175,414.0,538.5,0.0036283729428486203,1
2637,2015-02-04 07:56:00,20.66,24.215999999999998,412.2,535.8,0.00364245785923865,1
2638,2015-02-04 07:57:00,20.675,24.34,411.0,538.75,0.0036646250528121703,1
2639,2015-02-04 07:58:00,20.7,24.5,408.0,546.25,0.0036945779980858896,1
2640,2015-02-04 07:59:00,20.7,24.65,405.0,554.666666666667,0.0037173330491887,1
2641,2015-02-04 07:59:59,20.7,24.7,405.0,565.333333333333,0.0037249184340265797,1
2642,2015-02-04 08:00:59,20.7,24.7675,405.0,573.0,0.0037351589952908703,1
2643,2015-02-04 08:02:00,20.7128571428571,24.79,405.0,581.142857142857,0.00374155289136171,1
